symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
KINGFA.NS,5459.0,5243.6166585286455,4863.736111111111,4653.533994140625,4402.098676757812,4354.584510498047,5234.210286988846,3006.0,5550.0,True,True,True,True,True,True,True,True,False,67.36157699063338,green,187.34193614557665,False,Industrial Products,Plastic Products - Industrial,93.42235410484669,True,True,7397.7,3.77,6898,0.0509
APARINDS.NS,12717.0,12591.833333333334,11999.583333333334,11352.37,9715.383333333333,9390.8625,12600.632204960044,6801.0,13149.0,True,True,True,True,True,True,True,True,False,67.32886136468885,noise,38.61741923458706,False,Electrical Equipment,Other Electrical Equipment,93.3728981206726,True,True,51114.18,156.12,122684,0.3054
CRAFTSMAN.NS,8743.5,8610.708333333334,7936.263888888889,7652.01,7394.51,7238.5175,8580.139383954967,5095.705042553002,9738.0,True,True,True,True,True,True,True,True,False,66.65465774240104,dry,12.121738532611298,False,Auto Components,Auto Components & Equipments,93.32344213649851,True,True,20861.71,101.97,116600,0.4888
MAGSON.NS,185.0,179.83333333333334,178.08750025431314,167.40200012207032,137.73599975585938,132.16549964904786,181.13433946439596,100.5,199.5,True,True,True,True,True,True,True,True,False,66.44174310418403,ppv,33.47280334728033,False,Food Products,Packaged Foods,93.17507418397626,True,True,73.0,0.21,22706,0.2892
RBLBANK.NS,342.6499938964844,332.5541687011719,327.13333468967016,318.6740008544922,313.6723337809245,302.4309426116943,334.8373811230347,203.16122381938294,349.8999938964844,True,True,True,True,True,True,True,True,False,65.42209174627673,noise,37.1002342096351,False,Banks,Private Sector Bank,92.92779426310584,True,True,21215.23,183.19,5342366,0.8635
GLENMARK.NS,2360.199951171875,2335.2166748046875,2303.2944539388022,2259.58400390625,2066.6553352864585,2049.69146484375,2344.304385393396,1366.6478144531218,2474.0,True,True,True,True,True,True,True,True,False,65.29196346142716,noise,44.15782420143192,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,92.87833827893175,True,True,66602.22,162.89,690175,0.2446
SAIL.NS,203.30999755859375,194.98249944051108,182.49750010172525,173.6702001953125,154.02206670125327,147.46917156219482,196.87796500565494,116.63813628480024,209.6999969482422,True,True,True,True,True,True,True,True,False,63.717306683687,noise,78.00404113152183,False,Ferrous Metals,Iron & Steel,92.7299703264095,True,True,84047.93,547.27,26895455,0.6511
DYNAMATECH.NS,11267.0,10916.0,10984.222222222223,10562.83,9576.667503255208,8883.34625,11094.548951631687,6316.743428028843,12875.0,True,True,True,True,True,True,True,True,False,62.84302548169634,noise,26.356523859429153,False,Industrial Manufacturing,Industrial Products,92.63105835806132,True,True,7651.92,33.46,29701,0.4373
GRMOVER.NS,164.74000549316406,163.32916768391928,164.38749991522894,161.2961996459961,158.75420043945311,149.77115020751953,163.51265288680096,93.03333282470703,185.4499969482422,True,True,True,True,True,True,True,True,False,62.65263089069422,green,218.92902106418765,False,Agricultural Food & other Products,Other Agricultural Products,92.58160237388724,True,True,3418.96,33.26,2019030,0.9729
KERNEX.NS,1466.9000244140625,1400.1333312988281,1304.2347208658855,1202.8109997558595,1192.5950016276042,1169.9012506103516,1404.8317392542408,850.0,1626.0,True,True,True,True,True,True,True,True,False,62.366484541915426,noise,58.315836359781095,False,Transport Services,Transport Related Services,92.48269040553907,True,True,2466.26,28.97,197383,1.1747
SOUTHWEST.NS,250.5,241.49166615804037,237.18361028035483,227.61479919433594,199.8398664855957,184.0541498184204,245.38341817746874,121.0,273.239990234375,True,True,True,True,True,True,True,True,False,62.219921623064025,noise,73.15270786529656,False,Commercial Services & Supplies,Diversified Commercial Services,92.43323442136499,True,True,746.97,9.06,361838,1.213
STAR.NS,1177.800048828125,1157.3666585286458,1075.4097239176433,1031.715001220703,935.5816654459635,915.2839984130859,1156.137886576156,676.9404116010173,1231.0,True,True,True,True,True,True,True,True,False,61.994034022558694,noise,65.5627800590558,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,92.3837784371909,True,True,10861.63,38.23,324454,0.352
STYLAMIND.NS,2869.60009765625,2690.6666870117188,2409.5638970269097,2350.352001953125,2211.032678222656,2093.32600769043,2728.441031358175,1593.699951171875,2929.0,True,True,True,True,True,True,True,True,False,61.46748686123094,noise,25.32600119181182,False,Consumer Durables,Plywood Boards/ Laminates,92.28486646884274,True,True,4858.85,17.36,60606,0.3574
COASTCORP.NS,61.40999984741211,60.06166648864746,56.17055553860135,52.740999908447264,47.22813326517741,44.019503812789914,59.633043726119624,29.837394106729462,66.69999694824219,True,True,True,True,True,True,True,True,False,61.4355859671065,noise,76.95839141291086,False,Food Products,Seafood,92.23541048466865,True,True,411.31,0.97,158359,0.2364
ADANIENSOL.NS,1403.0999755859375,1340.5833333333333,1288.8513929578994,1203.7690026855469,1053.9516666666666,998.5675009155274,1362.1252058206558,744.9000244140625,1463.6500244140625,True,True,True,True,True,True,True,True,False,61.32221622143577,noise,59.67975123975611,False,Power,Power Distribution,92.18595450049456,True,True,168660.08,420.06,2991888,0.2491
POLYCAB.NS,9532.5,9187.083333333334,8415.0,8046.51,7733.926666666666,7614.8425,9208.685543297393,5727.946687671006,9539.5,True,True,True,True,True,True,True,True,False,61.16078666529743,noise,46.24718860609383,False,Industrial Products,Cables - Electricals,92.13649851632047,True,True,143421.94,488.85,513150,0.3408
MAHABANK.NS,80.04000091552734,79.34833335876465,77.20250002543132,73.4965998840332,65.6487089029948,62.801286182403565,79.7677368268759,49.36936040991265,85.9000015258789,True,True,True,True,True,True,True,True,False,61.0643632417176,noise,39.228701577734064,False,Banks,Public Sector Bank,92.08704253214638,True,True,61593.97,186.54,23294621,0.3029
KARURVYSYA.NS,293.25,290.2624969482422,289.66666497124567,287.2539984130859,277.18333302815756,261.484822845459,291.5381615512671,179.94499972680077,343.45001220703125,True,True,True,True,True,True,True,True,False,60.1829134731656,noise,20.665772684760224,False,Banks,Private Sector Bank,91.88921859545005,True,True,28321.94,103.84,3543996,0.3666
