symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
SHRIPISTON.NS,4033.0,3729.3666381835938,3496.74166531033,3514.9000048828125,3168.953336588542,3042.751912841797,3788.4078706464807,2297.412275557539,4050.0,True,True,True,True,True,True,True,True,False,71.57441999835896,ppv,122.08917591398412,False,False,True,False,Auto Components,Auto Components & Equipments,93.59534206695778,True,True
WABAG.NS,2110.800048828125,1830.5666910807292,1596.5750155978733,1564.5420166015624,1360.5993383789062,1382.0275042724609,1927.3335772040105,1033.0,2188.0,True,False,False,True,True,True,True,True,False,42.80532357098661,ppv,167.00327981307208,False,False,True,False,Other Utilities,Water Supply & Management,87.3847646773411,True,False
CEIGALL.NS,382.20001220703125,374.2083333333333,357.6458333333333,349.44200012207034,294.95646677652996,286.42979965209963,374.51695120039057,222.61000061035156,392.70001220703125,True,True,True,True,True,True,True,True,False,56.72927550661513,ppv,169.23109418018925,False,False,True,False,Construction,Civil Construction,91.36341581756429,True,True
LUMAXTECH.NS,1548.9000244140625,1618.3583475748699,1651.3944532606338,1663.2220068359375,1588.758671061198,1492.4000018310546,1604.4335791479666,954.0999755859375,1898.0,False,True,True,True,False,True,True,False,False,44.35690040712264,ppv,177.50781100282333,False,True,False,False,Auto Components,Auto Components & Equipments,87.8699660359049,True,False
ASAHIINDIA.NS,898.9000244140625,872.7624969482422,865.8624996609158,860.79,913.4176688639322,912.7505017089844,873.749028464126,686.6682844697214,1074.0,False,True,False,False,True,True,True,True,False,28.75623057957175,ppv,345.231915624682,True,False,False,False,Auto Components,Auto Components & Equipments,81.99902959728287,True,False
KAYNES.NS,3264.699951171875,3190.9666748046875,3340.9666680230034,3582.7959912109377,3877.007335611979,4637.130501708984,3222.7036623241693,2995.0,7705.0,False,False,False,False,False,False,False,True,False,-43.5417215534479,ppv,174.90963369570684,False,False,False,False,Industrial Manufacturing,Industrial Products,6.889859291606017,False,False
INDIACEM.NS,383.8500061035156,384.09583536783856,391.07361094156903,396.4210009765625,409.66533447265624,405.39500122070314,382.7979751754618,306.1000061035156,485.79998779296875,False,True,False,False,False,False,True,True,False,23.22632619695526,ppv,205.81823129090301,False,False,False,False,Cement & Cement Products,Cement & Cement Products,79.13634158175643,True,False
HERITGFOOD.NS,336.79998779296875,325.1499989827474,329.88611178927954,338.3660009765625,374.1753340657552,402.9777508544922,327.07164360285884,292.54998779296875,540.0,False,False,False,False,False,False,False,True,False,-23.444465015693304,ppv,851.034377650088,False,False,False,False,Food Products,Dairy Products,26.92867540029112,False,False
ASKAUTOLTD.NS,464.79998779296875,452.9666697184245,448.0013893975152,446.5859991455078,448.32966552734376,462.1227493286133,458.2752541681479,375.29998779296875,578.5,True,False,False,False,True,False,True,True,False,-2.1007007606679284,ppv,196.85276494249496,False,False,False,False,Auto Components,Auto Components & Equipments,55.31295487627366,False,False
ELECTHERM.NS,1139.550048828125,1118.9291585286458,922.5680525037977,884.4179968261719,809.3669982910156,861.4362490844727,1090.3689115780326,551.0,1280.4000244140625,True,False,True,True,True,True,True,True,False,-5.4864315354293485,ppv,79.68804048796136,False,False,False,False,Industrial Products,Iron & Steel Products,50.80058224163027,False,False
