symbol,total_market_cap_cr,price_band,last_updated
BEARDSELL.NS,108.22,20,2026-08-06
BEDMUTHA.NS,351.35,10,2026-08-06
BEEKAY.NS,,20,2026-08-06
BELLACASA.NS,320.23,20,2026-08-06
BLAL.NS,741.02,20,2026-08-06
BEML.NS,14463.13,20,2026-08-06
BENGALASM.NS,,20,2026-08-06
BERGEPAINT.NS,57886.21,20,2026-08-06
BESTAGRO.NS,538.75,10,2026-08-06
BEWLTD.NS,1874.71,20,2026-08-06
BFUTILITIE.NS,2207.7,20,2026-08-06
BGRENERGY.NS,2052.64,5,2026-08-06
BHAGCHEM.NS,3421.32,20,2026-08-06
BHANDARI.NS,96.89,5,2026-08-06
BBL.NS,2886.7,20,2026-08-06
BHARATCOAL.NS,,20,2026-08-06
BDL.NS,45801.98,No Band,2026-08-06
BEL.NS,297325.25,No Band,2026-08-06
BHARATRAS.NS,2131.32,20,2026-08-06
BRNL.NS,145.91,20,2026-08-06
BHARATWIRE.NS,1340.21,20,2026-08-06
BTTL.NS,290.93,5,2026-08-06
BIGBLOC.NS,665.55,20,2026-08-06
BIKAJI.NS,15953.1,20,2026-08-06
BILVYAPAR.NS,12.95,5,2026-08-06
BI.NS,,20,2026-08-06
GROWW.NS,126246.25,20,2026-08-06
BIMETAL.NS,248.74,20,2026-08-06
BIOFILCHEM.NS,54.4,20,2026-08-06
BIRLACABLE.NS,577.11,5,2026-08-06
BIRLAPREC.NS,,20,2026-08-06
BIRLANU.NS,1011.39,20,2026-08-06
BSOFT.NS,7899.52,20,2026-08-06
BBOX.NS,13868.72,10,2026-08-06
BLACKROSE.NS,,5,2026-08-06
BLBLIMITED.NS,82.84,20,2026-08-06
BLS.NS,9489.7,20,2026-08-06
BLUECOAST.NS,52.35,5,2026-08-06
BLUECHIP.NS,10.89,2,2026-08-06
BLUEDART.NS,11417.17,20,2026-08-06
BLUEPEBBLE.NS,107.73,20,2026-08-06
BLUESTONE.NS,11827.52,20,2026-08-06
BMWVENTLTD.NS,491.5,20,2026-08-06
BNAGROCHEM.NS,,5,2026-08-06
BODALCHEM.NS,822.67,5,2026-08-06
BTML.NS,109.02,20,2026-08-06
BOHRAIND.NS,13.47,10,2026-08-06
BOMDYEING.NS,2487.09,20,2026-08-06
BMETRICS.NS,152.69,20,2026-08-06
BSHSL.NS,913.9,5,2026-08-06
BONLON.NS,69.15,10,2026-08-06
