Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Sales,Profit after tax,OPM,Dividend yield,Price to book value,Return on equity,Earnings yield,Sales growth,Profit growth,EVEBITDA,Sales growth 3Years,PEG Ratio
Accel,517494,,INE258C01038,IT - Software,Computers - Software & Consulting,12.46,72.49,15.13,168.92,4.79,7.10,2.41,1.05,9.22,6.07,4.16,69.86,9.09,1.88,0.61
AccelerateBS Ind,543938,,INE0POP01017,IT - Software,Computers - Software & Consulting,99.75,34.29,52.75,6.92,0.65,21.53,0.30,8.55,16.21,3.87,,,24.36,,
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1131.00,1688.16,16.26,532.27,103.81,32.52,3.98,6.75,39.33,9.05,0.67,-18.54,8.53,4.28,-3.92
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,617.80,1482.04,33.79,349.03,43.86,16.24,0.16,5.38,18.65,4.02,31.92,32.67,23.05,20.95,0.64
Accord Synergy,,ACCORD,INE113X01015,Telecom - Services,Other Telecom Services,188.45,72.97,54.86,36.82,1.33,2.39,0.00,4.40,9.36,1.90,34.67,191.72,48.75,22.26,0.40
Accord Transformer,544710,,INE132201018,Electrical Equipment,Heavy Electrical Equipment,66.50,136.81,30.40,70.07,4.50,9.90,0.00,2.80,12.78,5.35,-11.33,-26.47,17.06,19.77,0.42
Accretion Nutraveda,544694,,INE1KVQ01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,276.00,199.82,39.41,33.59,5.07,20.51,0.00,5.63,25.02,3.47,109.94,102.80,27.76,126.52,0.24
Accretion Pha.,,ACCPL,INE0T8T01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,200.00,222.32,22.99,89.63,9.67,16.68,0.00,4.06,27.63,6.04,56.20,42.42,15.23,,
Accuracy Shippi.,544598,ACCURACY,INE648Z01023,Transport Services,Logistics Solution Provider,4.31,64.89,16.99,649.70,3.82,4.76,0.00,0.52,3.19,9.41,-28.26,47.49,6.30,-8.56,-0.82
ACE Alpha Tech,544431,,INE0S9X01011,IT - Software,Computers - Software & Consulting,133.20,233.88,15.64,24.23,14.95,78.54,0.00,3.38,29.30,8.89,56.02,33.48,10.62,70.48,0.24
Ace Integrated,,ACEINTEG,INE543V01017,Commercial Services & Supplies,Diversified Commercial Services,17.83,18.19,,0.50,-0.83,-282.00,0.00,1.09,-5.43,-6.60,-92.27,56.32,-17.41,-51.06,
Ace Men,539661,,INE023R01018,Retailing,Distributors,117.00,151.10,944.38,10.87,0.16,2.67,0.00,2.26,0.24,0.24,,,419.69,,
Ace Soft. Exp.,531525,,INE849B01010,IT - Software,Software Products,202.65,258.70,60.59,57.86,4.27,10.28,0.00,3.07,4.19,2.96,46.15,-24.16,27.59,76.57,0.33
Acetech E-Commerce,,ACETEC,INE1J6M01010,Retailing,E-Retail/ E-Commerce,139.00,227.73,22.15,82.76,10.28,16.92,0.00,3.26,24.82,6.72,17.76,45.82,14.85,16.47,0.25
Achyut Healthcar,543499,,INE0K1401020,Pharmaceuticals & Biotechnology,Pharmaceuticals,6.98,168.47,526.47,11.64,0.32,2.32,0.00,4.80,0.96,0.27,280.00,-41.82,271.08,62.52,45.23
