Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Sales,Profit after tax,OPM,Dividend yield,Price to book value,Return on equity,Earnings yield,Sales growth,Profit growth,EVEBITDA,Sales growth 3Years,PEG Ratio
Megri Soft,539012,,INE756R01013,Commercial Services & Supplies,Data Processing Services,78.00,24.50,37.12,3.26,0.66,30.37,0.00,1.07,2.74,3.85,5.84,20.00,22.69,6.61,6.15
Mehai Technology,540730,,INE062Y01020,Commercial Services & Supplies,Trading & Distributors,1.21,90.58,11.61,111.73,7.80,11.72,0.00,0.41,4.64,12.62,4.37,1.96,7.77,133.11,0.08
Mehta Integrat.,511377,,INE240B01012,Finance,Non Banking Financial Company (NBFC),29.00,14.50,,0.29,-0.06,-124.14,0.00,0.85,0.53,-0.34,-50.00,-112.77,-296.60,-11.49,
Mehul Colours,544472,,INE1KH601014,Chemicals & Petrochemicals,Specialty Chemicals,54.00,56.96,10.91,30.40,5.22,19.84,0.00,1.38,17.90,15.83,33.22,-4.74,5.99,12.80,0.52
Mehul Telecom,544751,,INE1K0V01011,Retailing,Speciality Retail,107.00,111.83,11.23,200.12,9.96,6.82,0.00,,45.02,12.15,73.44,73.52,8.20,,
Mena Mani Inds.,531127,,INE148B01033,Finance,Non Banking Financial Company (NBFC),15.09,175.36,157.98,16.88,1.11,6.75,0.00,12.18,3.54,0.60,-16.72,200.00,151.55,32.81,-11.13
Menon Bearings,523828,MENONBE,INE071D01033,Auto Components,Auto Components & Equipments,321.40,1801.13,41.00,318.39,43.93,20.73,0.62,9.72,22.26,3.43,27.97,61.45,25.02,10.93,7.51
Menon Pistons,531727,MENNPIS,INE650G01029,Auto Components,Auto Components & Equipments,77.64,395.96,15.07,307.12,26.27,15.58,1.29,2.23,15.41,9.84,16.09,7.01,7.69,6.55,2.22
MEP Infrast.,539126,MEP,INE776I01010,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",0.71,13.02,,50.46,-698.13,-1317.66,0.00,,,-303.38,-15.24,-431.30,-0.33,-48.39,
Mercantile Vent.,538942,MERCANTILE,INE689O01013,Commercial Services & Supplies,Diversified Commercial Services,25.45,285.22,42.32,95.28,6.74,0.72,0.00,1.04,1.97,1.86,24.52,-36.59,45.99,25.56,-1.59
Mercury EV-Tech,531357,MERCURYEV,INE763M01028,Automobiles,Passenger Cars & Utility Vehicles,36.74,697.96,153.06,112.89,4.56,5.59,0.00,2.49,1.51,1.11,4.21,-47.59,58.18,85.09,3.42
Mercury Labs,538964,,INE947G01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,751.00,90.12,20.48,73.76,4.40,10.68,0.47,1.55,9.17,6.93,-3.66,16.71,9.52,0.27,-6.97
Merritronix,544773,,INE1RQS01010,Industrial Manufacturing,Industrial Products,340.45,595.27,36.97,155.90,16.10,17.46,0.00,,46.03,4.42,37.28,85.91,22.23,43.13,0.14
Meta Infotech,544441,,INE162901016,IT - Services,IT Enabled Services,85.04,160.57,14.76,270.04,10.88,6.67,0.00,2.19,18.47,9.99,23.41,-31.53,8.69,35.56,0.77
Metal Coatings,531810,,INE161E01014,Industrial Products,Iron & Steel Products,52.94,38.79,15.15,152.20,2.56,2.10,1.89,0.88,5.57,8.42,-2.22,15.32,10.28,-4.47,-3.33
Metalic Technoforge,,METALIC,INE1II801013,Industrial Products,Iron & Steel Products,134.65,322.95,26.21,95.55,12.32,22.97,0.00,,48.48,5.63,28.48,36.43,14.55,26.76,0.23
Methodhub Software,544637,,INE0QZR01017,IT - Software,Computers - Software & Consulting,62.43,117.70,3.70,332.89,31.84,19.56,0.00,0.77,32.55,37.80,146.84,176.87,2.57,110.89,0.02
Metro Brands,543426,METROBRAND,INE317I01021,Consumer Durables,Footwear,929.15,25327.95,62.32,2955.75,406.44,30.05,0.65,12.71,22.08,2.47,15.48,13.72,27.09,10.42,13.67
Metroglobal,500159,METROGLOBL,INE085D01033,Commercial Services & Supplies,Trading & Distributors,136.14,167.92,7.92,252.33,21.20,8.02,1.84,0.41,1.32,32.45,7.78,-8.72,2.99,0.08,-0.43
Metropolis Healt,542650,METROPOLIS,INE112L01020,Healthcare Services,Healthcare Service Provider,588.70,12208.91,58.65,1710.00,208.15,24.69,0.34,8.07,13.63,2.51,21.80,36.87,27.79,12.75,5.48
Mewar Hi-Tech,540150,,INE957U01011,Construction,Civil Construction,60.80,23.73,26.97,47.27,0.88,10.01,0.00,1.90,7.29,7.85,-6.47,-69.12,9.91,-3.12,-6.01
Meyer Apparel,531613,,INE100C01024,Consumer Durables,"Gems, Jewellery And Watches",2.49,20.04,,0.01,-0.82,-7300.00,0.00,,,-3.53,-98.97,17.17,-28.33,-75.74,
MFL India,526622,,INE244C01020,Transport Services,Logistics Solution Provider,0.37,13.33,3.06,65.23,4.35,4.38,0.00,,,1.85,-28.87,216.00,12.30,68.71,
MIC Electronics,532850,MICEL,INE287C01037,Industrial Products,Other Industrial Products,36.74,885.48,,222.63,-12.17,11.40,0.00,4.10,-5.76,2.49,132.71,-227.57,34.49,102.60,
Micropro Softwar,,MICROPRO,INE0PZK01014,IT - Software,Computers - Software & Consulting,19.85,28.38,,18.85,-1.29,4.83,0.00,0.64,-2.88,-3.68,-18.47,30.27,8.62,,
Mid East Port.,526251,,INE033E01015,Finance,Other Financial Services,36.00,18.11,,0.30,-0.13,-120.00,0.00,4.03,21.18,0.11,-76.00,-107.98,903.50,107.46,
Midwest,544587,MIDWESTLTD,INE0XAD01024,Consumer Durables,Granites & Marbles,1062.10,3840.64,34.58,695.20,111.05,26.51,0.00,3.99,13.26,4.39,10.21,11.71,19.01,8.71,1.38
Midwest Energy,526570,,INE519N01014,Other Construction Materials,Other Construction Materials,3793.20,4920.61,,14.40,-10.92,-53.75,0.00,12.21,-5.73,-0.16,1010.26,-153.14,-1111.69,,
Mihika Industrie,538895,,INE779Q01017,Commercial Services & Supplies,Trading & Distributors,10.78,10.78,154.00,1.47,0.07,-33.33,0.00,0.49,0.41,0.73,-95.95,200.00,136.38,,5.75
Milestone Furn.,541337,,INE424Z01011,Consumer Durables,"Furniture, Home Furnishing",25.08,23.32,,0.00,-0.38,,0.00,0.96,-1.94,-1.60,,39.68,-1189.50,,
MILGREY FIN.&INV,511018,,INE679T01013,Commercial Services & Supplies,Diversified Commercial Services,46.21,99.54,,23.54,-2.02,-2.12,0.00,3.03,-3.83,-1.51,,-290.57,-66.15,,
Milkfood,507621,MLKFOOD,INE588G01021,Food Products,Dairy Products,83.63,214.06,4.72,420.49,45.35,2.59,0.75,0.91,22.12,21.98,-1.15,1291.10,4.15,-4.05,0.07
Milky Mist Dairy,544868,MILKYMIST,INE00IT01020,Food Products,Dairy Products,252.43,19433.16,105.69,3137.41,125.15,13.52,0.00,,38.31,1.26,34.75,186.06,48.33,29.89,1.63
Millworks Technologies,544826,,INE1SRC01010,Aerospace & Defense,Aerospace & Defense,1054.75,1857.92,50.07,148.77,37.11,34.97,0.00,,70.03,2.87,573.17,606.86,33.07,338.04,0.13
Milton Industri.,,MILTON,INE376Y01016,Consumer Durables,Plywood Boards/ Laminates,38.10,64.75,35.97,46.41,1.80,9.52,0.00,1.31,3.72,5.33,5.07,50.00,14.45,-8.68,-2.50
Minal Industries,522235,MINALIND,INE097E01028,Commercial Services & Supplies,Trading & Distributors,5.35,102.67,277.49,45.90,0.37,1.24,0.00,1.93,1.32,2.45,-6.02,-77.98,33.43,16.92,9.31
Minda Corp,538962,MINDACORP,INE842C01021,Auto Components,Auto Components & Equipments,702.80,16802.50,41.69,6645.77,403.00,11.68,0.20,6.37,14.71,3.02,26.59,57.13,22.95,12.88,5.41
Mindpool Tech.,,MINDPOOL,INE00RQ01019,IT - Services,IT Enabled Services,71.10,30.13,120.52,52.18,0.25,1.53,0.00,1.57,1.33,2.81,51.64,150.00,28.34,4.43,2.80
Mindspace Busine,543217,MINDSPACE,INE0CCU25019,Realty,Real Estate Investment Trusts (REITs),501.11,33173.16,42.56,3422.52,779.40,75.92,2.35,2.16,4.65,4.93,25.85,53.92,16.64,11.86,1.61
Mindteck (India),517344,MINDTECK,INE110B01017,IT - Software,Computers - Software & Consulting,168.81,539.42,16.33,410.08,33.04,8.89,0.59,1.78,12.09,10.34,-1.79,6.41,8.73,6.55,0.91
Mini Diamonds(I),523373,,INE281E01028,Consumer Durables,"Gems, Jewellery And Watches",4.51,106.30,54.51,663.17,1.95,0.36,0.00,1.67,2.20,2.26,39.82,-67.97,37.65,,
Minolta Finance,532164,,INE514C01026,Finance,Non Banking Financial Company (NBFC),1.45,72.50,,14.81,-0.26,68.94,0.00,7.79,-14.26,4.07,421.48,-273.33,24.52,171.14,
Mirza Internatio,526642,MIRZAINT,INE771A01026,Consumer Durables,Leather And Leather Products,30.96,427.87,,498.38,-20.04,2.03,0.00,0.91,-3.75,-4.53,-13.16,-731.54,33.30,-6.28,
Mish Designs,544015,,INE0QI101019,Textiles & Apparels,Garments & Apparels,36.00,12.41,,8.07,-1.03,-7.68,0.00,0.68,-5.94,-3.93,-55.12,-215.73,-31.83,-9.95,
Mishka Exim,539220,,INE540S01019,Consumer Durables,"Gems, Jewellery And Watches",42.80,61.85,31.72,27.24,1.95,8.70,0.00,2.56,8.57,4.26,411.07,306.25,22.47,17.98,0.31
Mishra Dhatu Nig,541195,MIDHANI,INE099Z01011,Aerospace & Defense,Aerospace & Defense,418.80,7845.80,58.42,1277.63,134.29,18.79,0.20,5.13,8.88,2.65,18.17,14.04,28.70,11.50,-10.29
Mishtann Foods,539594,,INE094S01041,Food Products,Packaged Foods,3.34,359.92,2.03,771.82,177.51,23.42,0.00,0.28,23.29,42.75,-44.15,-48.65,2.33,21.05,0.03
Misquita Engg.,542801,,INE957W01025,Industrial Manufacturing,Industrial Products,55.34,25.94,112.78,18.02,0.23,3.22,0.00,1.79,1.72,1.66,50.29,4.55,47.28,22.51,-6.20
Mitcon Consult.,,MITCON,INE828O01033,Commercial Services & Supplies,Consulting Services,77.80,135.52,13.91,168.82,9.74,18.99,0.00,0.86,5.68,11.33,49.78,146.58,6.28,14.81,0.58
Mitshi India,523782,,INE844D01017,Commercial Services & Supplies,Trading & Distributors,14.61,12.86,116.91,2.57,0.11,4.67,0.00,4.71,4.77,0.94,-35.26,266.67,106.67,-28.94,3.94
Mitsu Chem Plast,540078,,INE317V01016,Industrial Products,Packaging,177.00,240.33,10.39,360.04,23.14,12.58,0.11,2.14,15.04,12.55,6.70,209.77,6.61,4.26,1.03
Mittal Life Styl,,MITTAL,INE997Y01027,Textiles & Apparels,Garments & Apparels,0.80,35.52,13.66,89.88,2.60,11.11,0.00,0.55,3.76,11.57,11.90,87.05,5.60,,
Mittal Sections,544575,,INE833Q01012,Industrial Products,Iron & Steel Products,27.00,31.23,9.03,148.58,3.46,5.05,0.00,0.54,10.15,13.68,8.56,0.58,6.42,-3.86,0.10
Miven Mach. Tool,522036,,INE338P01014,Industrial Manufacturing,Industrial Products,56.05,16.83,,0.20,-0.43,-255.00,0.00,,,-2.09,,31.75,-47.74,-44.97,
Mizzen Ventures,531537,,INE681K01026,Commercial Services & Supplies,Diversified Commercial Services,38.00,83.58,557.20,2.56,0.15,19.92,0.00,1.65,2.10,1.13,190.91,-82.56,75.84,,
MKP Mobility,521244,,INE676G01024,Textiles & Apparels,Other Textile Products,147.25,50.23,24.50,38.63,2.05,3.99,0.00,5.56,22.11,5.61,16.67,19.88,17.05,569.18,0.23
MKVentures Cap.,514238,,INE874A01010,Finance,Investment Company,1027.40,394.88,54.84,18.12,7.20,56.07,0.02,3.48,9.81,2.70,-23.19,-16.47,36.13,-13.25,-4.07
MMP Industries,,MMP,INE511Y01018,Non - Ferrous Metals,Aluminium,404.15,1026.65,23.02,873.31,44.59,8.36,0.49,2.96,11.51,5.94,21.35,13.12,14.49,15.25,1.05
MMTC,513377,MMTC,INE123F01029,Commercial Services & Supplies,Trading & Distributors,64.18,9627.00,47.82,2.73,201.32,-6547.25,0.00,4.54,-14.28,3.15,-19.23,184.35,31.13,-91.55,
Mobavenue AI Tech,539682,,INE622Q01027,IT - Software,Software Products,300.95,2326.28,66.45,244.91,35.01,21.25,0.10,25.69,57.72,2.32,160.68,210.65,41.28,,
Mobilise App,,MOBILISE,INE1YNB01019,IT - Software,Software Products,108.15,102.87,18.40,18.43,5.59,46.07,0.00,3.45,29.38,9.01,14.19,18.18,9.42,38.41,0.39
Modern Dairies,519287,,INE617B01011,Food Products,Dairy Products,36.19,108.64,20.23,352.89,5.37,3.01,0.00,1.86,10.20,8.06,6.30,-78.36,9.11,16.05,-0.77
Modern Diagnost.,544673,,INE1HK501016,Healthcare Services,Healthcare Service Provider,49.99,75.48,14.38,83.11,5.25,15.15,0.00,1.29,13.24,8.17,6.62,-41.47,7.58,13.88,0.34
Modern Engineer.,539762,,INE250S01015,Construction,Civil Construction,26.01,40.19,5.46,101.66,7.36,10.61,0.00,0.62,14.09,15.68,-9.29,-7.77,5.47,20.89,0.07
Modern Insulator,515008,,INE219W01012,Electrical Equipment,Other Electrical Equipment,437.70,2063.49,21.91,766.76,94.16,14.81,0.00,3.79,15.85,6.13,41.77,133.07,15.15,18.65,0.51
Modern Malleable,517336,,INE834C01028,Industrial Products,Iron & Steel Products,44.99,524.25,21.50,178.29,24.38,19.24,0.00,2.95,11.37,6.26,129.46,88.41,15.54,42.26,0.63
Modern Shares,509760,,INE370A01019,Finance,Other Financial Services,36.97,10.84,98.55,3.47,0.11,7.49,0.00,0.84,1.56,-62.86,-8.68,-60.71,-1.35,6.52,27.61
Modern Steels,513303,,INE001F01019,Industrial Products,Iron & Steel Products,14.81,20.38,16.98,0.00,1.20,,0.00,1.08,5.77,5.85,,-74.47,16.97,,-0.28
Modern Threads,500282,MODTHREAD,INE794W01014,Textiles & Apparels,Other Textile Products,54.37,189.07,10.08,320.14,18.76,7.17,0.00,,9.35,14.14,17.76,486.25,6.10,-0.05,-0.51
Modi Naturals,519003,MODINATUR,INE537F01012,Agricultural Food & other Products,Other Agricultural Products,340.95,453.68,9.33,719.77,48.62,10.84,0.00,2.64,30.23,11.49,7.35,42.79,7.71,19.85,0.04
Modi Rubber,500890,MODIRUBBER,INE832A01018,Auto Components,Tyres & Rubber Products,131.30,328.78,32878.00,34.97,0.01,-73.72,0.00,0.49,0.09,1.38,12.95,-99.95,37.82,86.03,-460.86
Modi's Navnirman,543539,MODIS,INE0L0L01012,Realty,"Residential, Commercial Projects",380.85,746.13,24.05,202.03,31.03,18.00,0.00,4.76,20.53,5.28,83.96,26.22,18.65,,0.04
Modipon,503776,,INE170C01019,Realty,"Residential, Commercial Projects",45.20,52.33,,0.00,-0.55,,0.00,,,-0.56,,3.51,-178.40,,
Modison,506261,MODISONLTD,INE737D01021,Electrical Equipment,Other Electrical Equipment,469.95,1524.99,14.22,846.66,107.23,18.76,1.17,5.55,32.04,9.12,66.70,294.95,10.32,28.51,0.17
Modulex Const.,504273,,INE064R01012,Construction,Civil Construction,15.64,164.17,,0.00,-15.95,,0.00,0.35,-4.75,-7.75,,-59.98,-18.61,,
Mohini Health,,MHHL,INE450S01011,Healthcare Equipment & Supplies,Medical Equipment & Supplies,31.40,57.26,,144.46,-7.12,-1.52,0.00,0.63,-7.27,-4.12,-13.89,-168.93,90.34,-9.05,
Mohit Industries,531453,MOHITIND,INE954E01012,Textiles & Apparels,Other Textile Products,23.78,33.67,,132.49,-0.60,1.09,0.00,0.36,-0.56,3.89,7.31,75.41,18.64,-5.74,
Mohit Paper Mill,530169,,INE388C01017,"Paper, Forest & Jute Products",Paper & Paper Products,26.74,37.44,5.49,209.87,6.82,10.90,0.00,0.65,12.21,14.33,13.57,8.25,4.60,-3.41,0.53
Mohite Industrie,532140,MOHITE,INE154B01023,Textiles & Apparels,Other Textile Products,2.79,56.08,25.72,145.79,2.18,9.05,0.00,0.48,3.15,8.24,0.39,-1.36,8.20,22.01,-1.39
MOIL,533286,MOIL,INE490G01020,Minerals & Mining,Industrial Minerals,252.30,5133.93,16.91,1510.96,303.59,31.21,2.11,1.89,9.77,8.72,4.92,8.12,7.87,3.16,6.43
Moksh Ornaments,,MOKSH,INE514Y01020,Consumer Durables,"Gems, Jewellery And Watches",10.07,88.87,8.43,795.91,10.54,2.02,0.00,0.69,8.21,16.98,34.05,22.42,5.64,14.99,0.49
Molbio Diagnosti,544866,MOLBIO,INE869T01028,Healthcare Equipment & Supplies,Medical Equipment & Supplies,1160.50,13373.60,53.57,1445.69,167.19,22.11,0.00,,15.64,1.97,41.68,10.05,40.89,,
Mold-Tek Pack.,533080,MOLDTKPAC,INE893J01029,Industrial Products,Packaging,706.65,2348.12,30.88,946.51,76.04,19.15,0.71,3.40,10.80,4.72,14.71,15.54,14.02,6.70,-8.30
Mold-Tek Technol,526263,MOLDTECH,INE835B01035,Construction,Civil Construction,208.96,601.91,32.69,207.93,18.41,10.95,1.91,4.70,8.21,4.35,48.68,140.34,18.69,7.34,-1.09
Monarch Networth,511551,MONARCH,INE903D01011,Capital Markets,Stockbroking & Allied,377.90,2997.06,16.55,365.08,181.12,69.90,0.26,3.08,20.49,10.66,7.49,17.25,9.08,32.08,0.27
Monarch Surve.,544453,,INE0V0L01028,Commercial Services & Supplies,Consulting Services,305.25,432.11,11.61,171.69,37.23,29.68,0.52,1.87,21.89,12.57,11.39,6.89,7.43,33.80,0.18
Moneyboxx Fin.,538446,MONEYBOXX,INE296Q01012,Finance,Non Banking Financial Company (NBFC),58.80,410.48,313.34,224.77,1.31,42.26,0.00,1.39,0.48,9.08,5.86,146.45,9.88,66.27,10.44
Monika Alcobev,544451,,INE0LCG01010,Beverages,Breweries & Distilleries,160.70,344.70,10.72,299.74,32.14,15.33,0.62,1.41,18.89,10.73,27.35,49.84,8.98,28.95,0.31
Mono Pharmacare,,MONOPHARMA,INE0OIP01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,8.95,15.81,45.17,165.69,0.35,2.41,0.00,0.50,1.12,5.47,-1.57,-88.67,17.79,71.08,-1.61
Monolithisch Ind,,MONOLITH,INE1DV401010,Industrial Products,Electrodes & Refractories,1265.65,2751.02,95.59,153.68,28.78,25.04,0.00,21.05,27.76,1.42,39.10,58.94,66.14,,
Monotype India,505343,,INE811D01024,Commercial Services & Supplies,Diversified Commercial Services,0.30,21.09,,0.00,-0.76,,0.00,,,-1.34,-100.00,-107.39,-74.76,,
Monte Carlo Fas.,538836,MONTECARLO,INE950M01013,Textiles & Apparels,Garments & Apparels,574.50,1191.06,11.39,1286.42,104.57,17.12,3.48,1.32,12.83,10.65,15.59,36.25,6.92,4.51,-2.03
Moongipa Capital,530167,,INE153K01018,Finance,Non Banking Financial Company (NBFC),19.00,17.41,28.54,13.35,0.61,7.64,0.00,0.74,3.14,5.70,53.80,-54.14,16.53,84.32,0.81
Mopshop Distribution,544883,,INE2F5H01015,Other Consumer Services,Other Consumer Services,91.05,65.56,12.66,44.06,5.18,18.07,0.00,,69.81,10.18,16.62,264.79,9.57,35.91,0.08
Morarjee Text.,532621,MORARJEE,INE161G01027,Textiles & Apparels,Other Textile Products,9.70,35.24,,32.83,-185.56,-68.20,0.00,,,-6.39,-84.13,-21.54,-41.48,-44.68,
Morarka Finance,511549,,INE367A01015,Finance,Non Banking Financial Company (NBFC),66.50,29.93,17.92,2.51,1.67,78.88,2.26,0.26,1.35,6.64,26.13,29.46,15.06,-27.64,-0.55
Morepen Labs.,500288,MOREPENLAB,INE083A01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,113.74,6232.43,53.08,1950.59,117.42,9.43,0.18,5.00,6.20,2.67,9.49,26.79,30.92,8.40,2.18
Morgan Ventures,526237,,INE902C01015,Finance,Non Banking Financial Company (NBFC),47.25,46.78,61.55,30.76,0.76,71.75,0.00,0.50,4.53,9.08,-31.58,-96.63,11.02,36.96,-5.38
MOS Utility,,MOS,INE0N7S01028,Financial Technology (Fintech),Financial Technology (Fintech),7.55,194.37,10.74,626.49,18.09,4.52,0.00,1.83,18.66,13.54,3.05,61.32,6.43,81.56,0.14
Moschip Tech.,532407,MOSCHIP,INE935B01025,IT - Hardware,Computers Hardware & Equipments,212.22,4139.31,129.88,565.77,31.87,9.30,0.00,10.07,11.03,0.98,8.37,-21.15,68.13,43.42,1.49
Mother Nutri,544623,,INE0UH001016,Food Products,Other Food Products,160.00,200.56,17.23,123.28,11.64,12.84,0.00,3.04,25.60,6.80,36.92,79.91,14.28,17.53,0.15
Motherson Wiring,543498,MSUMI,INE0FS801015,Auto Components,Auto Components & Equipments,36.52,24218.83,38.60,12390.81,627.40,8.67,1.59,11.20,32.36,3.51,28.68,4.55,22.52,17.54,4.44
Motil.Oswal.Fin.,532892,MOTILALOFS,INE338I01027,Capital Markets,Stockbroking & Allied,1037.00,62460.92,31.54,10062.73,1980.22,40.94,0.58,4.84,15.53,5.77,14.85,-28.82,16.88,30.95,1.22
Motisons Jewel,544053,MOTISONS,INE0FRK01020,Consumer Durables,"Gems, Jewellery And Watches",16.48,1874.61,28.00,509.83,66.94,17.76,0.00,3.31,14.01,5.01,10.73,49.19,19.59,10.16,0.66
Motor & Gen Fin,501343,MOTOGENFIN,INE861B01023,Commercial Services & Supplies,Diversified Commercial Services,28.71,111.19,62.47,6.91,1.78,-20.69,0.00,0.50,-0.18,-5.31,-1.43,147.22,-13.72,8.00,2.61
Moving Media,,MMEL,INE0XM301010,Commercial Services & Supplies,Diversified Commercial Services,25.25,47.49,3.77,51.31,12.61,71.70,0.00,0.51,19.04,26.92,38.45,21.25,1.90,88.42,0.04
Moxsh Overseas,,MOXSH,INE0N6D01014,Other Consumer Services,Education,99.00,93.27,43.18,11.69,2.16,39.44,0.00,5.91,16.73,4.29,21.01,10700.00,19.61,-1.60,1.50
MPDL Ltd,532723,MPDL,INE493H01014,Realty,"Residential, Commercial Projects",33.98,25.18,,21.57,-10.66,-58.04,0.00,0.28,-8.47,-13.70,122.60,-107.80,-7.31,12.71,
Mphasis,526299,MPHASIS,INE356A01018,IT - Software,Computers - Software & Consulting,2422.00,46230.35,23.88,16531.21,1936.16,18.57,2.56,4.30,18.53,6.01,13.69,11.32,13.86,4.79,4.67
MPIL Corporation,500450,,INE844C01027,Finance,Other Financial Services,479.10,27.31,,0.06,-3.67,-7033.33,0.09,2.68,-28.22,-10.43,,-63.11,-9.77,,
MPS,532440,MPSLTD,INE943D01017,Printing & Publication,Printing & Publication,2658.90,4548.27,24.83,806.33,183.15,32.56,3.12,7.63,29.72,5.46,10.09,18.76,16.34,15.32,1.82
MRC Agrotech,540809,,INE333Y01017,Commercial Services & Supplies,Trading & Distributors,27.00,84.58,55.64,111.77,1.52,1.57,0.00,1.59,2.47,2.33,220.26,65.22,39.69,,
MRF,500290,MRF,INE883A01011,Auto Components,Tyres & Rubber Products,129945.00,55111.53,22.36,31888.87,2464.67,15.12,0.18,2.63,12.51,6.44,11.37,37.04,10.41,10.62,0.43
MRP Agro,543262,,INE0D7801012,Retailing,Distributors,91.00,104.65,18.07,74.06,5.79,10.34,0.00,2.54,9.93,7.08,,,11.28,,
Mrs Bectors,543253,BECTORFOOD,INE495P01020,Food Products,Packaged Foods,225.96,6936.76,53.70,1968.09,129.17,12.23,0.58,5.91,10.36,2.65,11.13,12.19,25.63,14.53,3.44
Mrugesh Trading,512065,,INE738D01029,Finance,Non Banking Financial Company (NBFC),108.55,7842.19,,11.76,-0.18,-12.33,0.00,108.72,-0.53,0.00,-41.90,-151.43,-87160.00,,
Msafe Equipments,544695,,INE2B5L01011,Non - Ferrous Metals,Aluminium,250.80,511.63,19.18,102.77,24.45,42.71,0.00,5.22,39.54,7.15,44.24,86.50,11.41,56.17,0.21
MSL Global,511000,,INE856D01011,Finance,Non Banking Financial Company (NBFC),18.04,38.64,19.42,7.40,1.99,51.35,0.00,0.51,3.56,5.87,10471.43,388.41,7.35,,
MSP Steel & Pow.,532650,MSPL,INE752G01015,Industrial Products,Iron & Steel Products,35.40,2006.46,14.40,2958.62,139.35,6.26,0.00,1.95,13.69,5.86,4.03,905.49,12.07,3.69,0.21
MSR India,508922,,INE331L01026,Industrial Products,"Aluminium, Copper & Zinc Products",2.87,18.05,,0.00,-0.44,,0.00,,,-1.71,,2.22,-58.32,,
MSTC,542597,MSTCLTD,INE255X01014,Commercial Services & Supplies,Trading & Distributors,734.20,5168.77,22.06,386.48,234.31,60.41,2.14,5.72,26.60,7.86,21.02,8.30,12.28,-19.96,-6.64
MT Educare,534312,MTEDUCARE,INE472M01018,Other Consumer Services,Education,1.77,12.78,,36.14,-3.13,12.62,0.00,,,2.03,-28.24,89.78,15.77,-14.68,
MTAR Technologie,543270,MTARTECH,INE864I01014,Electrical Equipment,Other Electrical Equipment,7161.00,22026.94,160.44,1080.24,137.29,21.06,0.00,26.68,12.61,1.00,53.38,126.78,86.58,15.18,-120.63
Mudunuru,538743,,INE491C01027,IT - Software,Computers - Software & Consulting,8.24,26.04,,3.11,-1.92,-37.30,0.00,72.33,-313.04,-6.62,-53.72,-39.13,-27.35,13.53,
Mufin Green,542774,MUFIN,INE08KJ01020,Finance,Non Banking Financial Company (NBFC),137.56,2725.92,71.42,245.90,38.17,77.00,0.00,4.74,6.69,4.79,43.01,92.97,20.56,82.71,1.39
Mukand,500460,MUKANDLTD,INE304A01026,Industrial Products,Iron & Steel Products,134.44,1942.60,3.07,5121.19,632.48,2.56,1.49,1.28,5.57,18.93,7.57,689.32,4.82,-4.23,0.10
Mukat Pipes,523832,,INE862C01029,Industrial Products,Iron & Steel Products,15.99,18.92,,5.94,-0.06,-7.24,0.00,,,0.38,58.82,60.00,105.80,16.92,
Mukesh Babu Fin.,530341,MUKESHB,INE596B01017,Finance,Non Banking Financial Company (NBFC),133.91,93.35,28.19,12.65,3.31,14.47,0.90,0.27,1.61,7.48,142.80,-8.46,12.91,27.84,9.75
Mukka Proteins,544135,MUKKA,INE0CG401037,Food Products,Animal Feed,31.34,940.20,13.60,1768.34,69.14,8.29,0.00,1.88,11.06,9.59,76.01,59.13,9.36,7.18,2.47
Mukta Arts,532357,MUKTAARTS,INE374B01019,Entertainment,"Film Production, Distribution & Exhibition",58.90,133.03,,177.77,-4.97,8.57,0.00,,,4.61,7.95,69.77,6.69,2.15,
Muller & Phipps,501477,,INE003F01015,Commercial Services & Supplies,Trading & Distributors,209.95,13.12,,6.19,-0.64,-16.96,0.00,,,-3.86,15.92,-433.33,-25.92,12.92,
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,3275.40,83520.03,54.17,2630.79,1541.80,72.01,0.24,29.33,56.26,2.42,110.21,136.36,39.72,64.89,0.50
Multibase India,526169,,INE678F01014,Chemicals & Petrochemicals,Specialty Chemicals,180.00,227.16,19.77,70.78,11.49,17.99,29.44,2.55,12.46,9.36,3.66,-11.89,9.89,-2.68,9.28
Munish Forge,,MUNISH,INE1K8Y01018,Industrial Products,Castings & Forgings,83.05,199.90,18.98,182.64,10.53,11.73,0.00,1.58,10.85,7.81,4.10,-27.08,10.62,4.48,0.25
Munjal Auto Inds,520059,MUNJALAU,INE672B01032,Auto Components,Auto Components & Equipments,112.28,1122.80,21.91,2503.15,51.24,5.24,0.89,2.51,3.73,7.37,22.26,48.27,8.40,4.97,-1.48
Munjal Showa,520043,MUNJALSHOW,INE577A01027,Auto Components,Auto Components & Equipments,129.21,516.78,19.55,1376.87,26.44,1.30,3.48,0.76,3.31,6.77,12.33,4.80,11.34,1.97,81.46
Munoth Capital,511200,,INE910G01027,Capital Markets,Stockbroking & Allied,99.75,91.43,,0.75,-0.08,-24.00,0.00,16.07,-3.11,-0.15,97.37,-300.00,-653.29,36.92,
