symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
INDUSINDBK.NS,915.4000244140625,921.7837575276693,912.0622202555338,907.0113452148438,883.3027974446615,854.5350234985351,919.7126197743372,709.4508644993872,967.2832886347888,True,True,True,True,True,False,True,False,False,10.208869711837941,red,150.45703690623853,False,False,False,False,,Banks,Private Sector Bank,72.83496732026144,True,False
INFINIUM.NS,209.75,205.4625015258789,209.7375005086263,209.89500030517578,215.93733286539714,225.30499969482423,208.38692330348732,189.39999389648438,304.0,False,False,False,False,False,False,False,True,False,-27.920962199312715,dry,11.52073732718894,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,27.41013071895425,False,False
NAUKRI.NS,986.7999877929688,991.316660563151,976.4069434271919,983.972998046875,1121.807578125,1178.577444458008,992.5131619611719,908.2999877929688,1527.3502839626426,False,False,False,False,True,False,False,False,False,-34.03096369112855,noise,64.56602547033775,False,True,False,False,,Retailing,Internet & Catalogue Retail,19.40359477124183,False,False
INFOBEAN.NS,156.77999877929688,163.80750020345053,160.98611238267688,165.82880157470703,176.69355041503906,166.88966285705567,160.9618566761218,91.29553130665651,257.5,False,True,False,False,False,True,False,False,False,66.47171284789843,noise,24.725074393194195,False,False,False,False,,IT - Software,Computers - Software & Consulting,93.79084967320262,True,False
INFOLLION.NS,171.5500030517578,173.58750025431314,188.36805470784506,201.56499908447265,303.0236658732096,335.51349937438965,173.9407934830938,168.10000610351562,551.0,False,False,False,False,False,False,False,False,False,-65.68999938964843,noise,29.069767441860467,False,True,False,False,,Commercial Services & Supplies,Diversified Commercial Services,1.9607843137254901,False,False
INFOMEDIA.NS,5.659999847412109,5.801666657129924,5.755833334392971,5.777199983596802,5.819533332188924,6.151099998950958,5.780372818601059,4.5,8.59000015258789,False,False,False,False,False,False,False,False,False,-30.722156737364635,red,109.58821879176708,False,False,False,False,,Printing & Publication,Printing & Publication,23.856209150326798,False,False
INFY.NS,1036.699951171875,1089.6083272298176,1129.1825425889756,1142.2763354492188,1345.1499471028646,1370.8427404785157,1074.4436978986155,1026.0,1691.3991593070652,False,False,False,False,False,False,False,False,False,-32.00887211923321,red,103.79771224598251,False,False,False,False,,IT - Software,Computers - Software & Consulting,22.263071895424837,False,False
INGERRAND.NS,4468.2001953125,4468.575032552083,4302.286105685764,4298.456000976563,3833.8191927083335,3836.1796154785156,4481.409405983217,3063.300048828125,4756.2001953125,True,False,True,True,True,True,True,False,False,21.634545696824613,noise,22.67315457086655,False,False,False,False,,Industrial Products,"Compressors, Pumps & Diesel Engines",80.43300653594771,True,False
INNOVACAP.NS,994.2000122070312,948.4041697184244,894.3444451226128,858.3940026855469,751.5039807128907,768.7714294433594,946.3955908202837,622.0,999.9000244140625,True,False,False,True,True,True,True,True,False,17.81703314968437,green,102.01498368440845,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,78.22712418300654,True,False
INNOVANA.NS,322.1000061035156,316.90416463216144,339.1375003390842,353.5390008544922,384.5896669514974,414.22050048828123,316.16239714885,292.79998779296875,649.5,False,False,False,False,False,False,False,True,False,-27.22548539048537,green,123.36060866898653,False,False,False,False,,IT - Software,Computers - Software & Consulting,28.39052287581699,False,False
