symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,ff_pct,traded_value_cr,traded_volume,traded_val_pct_of_ff,_ff_mc_raw,liquidity_score
ATALREAL.NS,29.5,28.567499955495197,26.374999894036186,25.322799911499022,25.1460666402181,23.836949977874756,28.450129233416217,14.619999885559082,29.770000457763672,True,True,True,True,True,True,True,True,False,96.66666666666666,green,127.2006511231991,False,95.99604547701433,True,True,,,,,,,
HARDWYN.NS,25.670000076293945,24.353333314259846,23.83083332909478,22.351200065612794,18.403200016021728,17.18175000190735,24.948210085861888,10.869999885559082,27.790000915527344,True,True,True,True,True,True,True,True,False,83.48820940861421,red,146.68593406195075,False,95.15570934256056,True,True,,,,,,,
MAHICKRA.NS,234.89999389648438,239.07916641235352,229.49027718438043,222.45499908447266,181.20599975585938,173.15024955749513,236.3723753671307,112.0,252.0,True,True,True,True,True,True,True,False,False,62.05588053952216,noise,26.595744680851062,False,92.83242708848245,True,True,,,,,,,
SHEETAL.NS,285.0,280.3375015258789,260.09722264607746,252.40900024414063,201.66933349609374,183.83215850830078,282.9283816290959,109.57594492121324,335.0,True,True,True,True,True,True,True,True,False,153.86241996870103,noise,21.436227224008576,False,98.22046465645082,True,True,,,,,,,
SILKFLEX.NS,204.0,210.17083485921225,177.255556318495,161.91500045776368,117.87666681925455,110.33424995422364,208.29903598789468,76.0,229.6999969482422,True,True,True,True,True,True,True,False,False,109.87654979930453,dry,16.286644951140065,False,96.68808699950569,True,True,,,,,,,
MAGSON.NS,184.5,179.33333333333334,176.92083358764648,166.40200012207032,137.22266642252603,131.87524963378905,180.27530378981731,100.5,199.5,True,True,True,True,True,True,True,True,False,58.23327822851476,dry,12.626262626262626,False,91.99209095402867,True,True,,,,,,,
HOACFOODS.NS,532.4500122070312,491.4750035603841,444.28472391764325,418.52600158691405,356.66500071207685,322.5675003814697,493.5476584353289,149.64999389648438,540.5499877929688,True,True,True,True,True,True,True,True,False,234.03389748735407,noise,87.97653958944281,False,99.40682155215028,True,True,,,,,,,
GLOBAL.NS,101.91999816894531,106.82249895731609,103.13777775234647,101.88139999389648,89.74778869628906,83.4629235458374,103.84195418319312,54.930098472460635,121.9000015258789,True,True,True,True,True,True,True,False,False,73.31001318682802,green,107.03758700817691,False,94.06821552150272,True,True,,,,,,,
KANDARP.NS,147.0,149.22499974568686,144.49027718438043,143.54999938964843,136.53033259073894,128.56949939727784,148.19518704082915,70.30000305175781,169.0,True,True,True,True,True,True,True,False,False,67.71248994969822,dry,12.165450121654501,False,93.47503707365298,True,True,,,,,,,
OLIL.NS,460.1499938964844,459.25416564941406,378.7333340115017,360.83700073242187,322.8740000406901,304.8097499847412,451.6107626211963,163.0,479.8999938964844,True,True,True,True,True,True,True,True,False,174.38879085877502,noise,24.72624514305899,False,98.76421156697972,True,True,,,,,,,
NARMADA.NS,37.61000061035156,36.299166679382324,34.79583337571886,33.98380004882812,28.61626673380534,27.192100048065186,36.014040698116524,15.600000381469727,38.900001525878906,True,True,True,True,True,True,True,True,False,111.29214731675683,ppv,301.2871092802084,True,96.7869500741473,True,True,,,,,,,
BEACON.NS,97.05000305175781,101.40833346048991,94.03750038146973,88.91800033569336,84.65166669209798,77.79174993515015,99.22593773679418,50.0,124.80000305175781,True,True,True,True,True,True,True,False,False,23.0038037704293,noise,51.369863013698634,False,81.26544735541276,True,True,,,,,,,
CONSOFINVT.NS,229.69000244140625,227.31000137329102,221.66722318861218,221.7572006225586,196.68446695963542,195.25400009155274,227.87538648164931,152.0,245.9499969482422,True,True,True,True,True,True,True,True,False,19.81997270712117,noise,38.31873806722511,False,79.38704893722195,True,True,,,,,,,
SILGO.NS,77.02999877929688,76.40750058492024,76.25694423251682,75.09779983520508,72.3198492940267,70.34113704681397,76.5283283925921,49.02000045776367,85.0,True,True,True,True,True,True,True,True,False,50.185216229889164,noise,94.18849037785782,False,90.55857637172517,True,True,,,,,,,
ASCOM.NS,249.85000610351562,255.6833356221517,255.83888880411783,249.56000030517578,174.80833358764647,153.57450046539307,256.97117814090257,76.55000305175781,285.0,True,True,True,True,True,True,True,False,False,180.10091328645416,noise,73.17073170731707,False,98.86307464162135,True,True,,,,,,,
NEUEON.NS,25.540000915527344,25.561667283376057,20.80222251680162,19.136000175476074,11.228399991989136,9.726299941539764,25.133422736292275,5.21999979019165,27.399999618530273,True,True,True,True,True,True,True,True,False,389.2720678555746,dry,0.0,False,99.80227385071676,True,True,,,,,,,
NORBTEAEXP.NS,84.13999938964844,79.92916679382324,76.92805586920844,80.3552001953125,77.96933336893717,69.32534999847412,80.03533867369421,30.5,99.3499984741211,True,True,True,True,True,True,True,True,False,112.20679987800666,noise,67.3500141742387,False,96.83638161146811,True,True,,,,,,,
SALSTEEL.NS,58.310001373291016,58.871666272481285,53.718055195278595,49.70999977111816,43.568999989827475,38.378950009346006,59.01139309540751,14.369999885559082,63.4900016784668,True,True,True,True,True,True,True,False,False,221.79910967243606,noise,92.83090420275539,False,99.35739001482946,True,True,,,,,,,
WELINV.NS,1911.800048828125,1745.1500040690105,1504.78611585829,1442.0660009765625,1322.5226627604168,1242.9064978027343,1769.221721693283,800.25,1953.0,True,True,True,True,True,True,True,True,False,125.20909339680011,green,186.8936978495353,False,97.38012852199704,True,True,,,,,,,
NDLVENTURE.NS,129.24000549316406,123.084166208903,122.1408331129286,120.0997999572754,102.12660008748372,97.3347963142395,124.3862041789925,57.675033669202506,140.0,True,True,True,True,True,True,True,True,False,112.92299833511579,noise,41.2284180914385,False,96.93524468610974,True,True,,,,,,,
